Tight Ends,Team,Opp,tier,fp_min,fp_avg,fp_max
Travis Kelce,KC,at JAC,1.0,9.145,10.951666666666666,12.36
George Kittle,SF,at TB,1.0,9.145,10.951666666666666,12.36
Zach Ertz,PHI,vs. WAS,1.0,9.145,10.951666666666666,12.36
O.J. Howard,TB,vs. SF,1.0,9.145,10.951666666666666,12.36
Hunter Henry,LAC,vs. IND,1.0,9.145,10.951666666666666,12.36
Evan Engram,NYG,at DAL,1.0,9.145,10.951666666666666,12.36
Jared Cook,NO,vs. HOU,1.0,9.145,10.951666666666666,12.36
Vance McDonald,PIT,at NE,1.0,9.145,10.951666666666666,12.36
David Njoku,CLE,vs. TEN,1.0,9.145,10.951666666666666,12.36
Delanie Walker,TEN,at CLE,1.0,9.145,10.951666666666666,12.36
Mark Andrews,BAL,at MIA,1.0,9.145,10.951666666666666,12.36
Austin Hooper,ATL,at MIN,1.0,9.145,10.951666666666666,12.36
Greg Olsen,CAR,vs. LAR,1.0,9.145,10.951666666666666,12.36
Eric Ebron,IND,at LAC,2.0,7.85,7.85,7.85
Kyle Rudolph,MIN,vs. ATL,2.0,7.85,7.85,7.85
Jimmy Graham,GB,at CHI,2.0,7.85,7.85,7.85
Darren Waller,OAK,vs. DEN,2.0,7.85,7.85,7.85
T.J. Hockenson,DET,at ARI,2.0,7.85,7.85,7.85
Jack Doyle,IND,at LAC,2.0,7.85,7.85,7.85
Noah Fant,DEN,at OAK,2.0,7.85,7.85,7.85
Tyler Eifert,CIN,at SEA,2.0,7.85,7.85,7.85
Jordan Reed,WAS ,at PHI,2.0,7.85,7.85,7.85
Dallas Goedert,PHI,vs. WAS,2.0,7.85,7.85,7.85
Gerald Everett,LAR,at CAR,2.0,7.85,7.85,7.85
Trey Burton,CHI,vs. GB,2.0,7.85,7.85,7.85
Jason Witten,DAL,vs. NYG,2.0,7.85,7.85,7.85
Will Dissly,SEA,vs. CIN,2.0,7.85,7.85,7.85
Mike Gesicki,MIA,vs. BAL,2.0,7.85,7.85,7.85
Cameron Brate,TB,vs. SF,2.0,7.85,7.85,7.85
Geoff Swaim,JAC,vs. KC,2.0,7.85,7.85,7.85
Nick Vannett,SEA,vs. CIN,2.0,7.85,7.85,7.85
Hayden Hurst,BAL,at MIA,3.0,3.4899999999999998,5.783597902097902,8.65
C.J. Uzomah,CIN,at SEA,3.0,3.4899999999999998,5.783597902097902,8.65
Charles Clay,ARI,vs. DET,3.0,3.4899999999999998,5.783597902097902,8.65
Ian Thomas,CAR,vs. LAR,3.0,3.4899999999999998,5.783597902097902,8.65
Matt LaCosse,NE,vs. PIT,3.0,3.4899999999999998,5.783597902097902,8.65
Vernon Davis,WAS,at PHI,3.0,3.4899999999999998,5.783597902097902,8.65
Adam Shaheen,CHI,vs. GB,3.0,3.4899999999999998,5.783597902097902,8.65
Irv Smith Jr.,MIN,vs. ATL,3.0,3.4899999999999998,5.783597902097902,8.65
Blake Jarwin,DAL,vs. NYG,3.0,3.4899999999999998,5.783597902097902,8.65
Jesse James,DET,at ARI,3.0,3.4899999999999998,5.783597902097902,8.65
Jonnu Smith,TEN,at CLE,3.0,3.4899999999999998,5.783597902097902,8.65
Tyler Higbee,LAR,at CAR,3.0,3.4899999999999998,5.783597902097902,8.65
Jeff Heuerman,DEN,at OAK,3.0,3.4899999999999998,5.783597902097902,8.65
Tyler Kroft,BUF,at NYJ,3.0,3.4899999999999998,5.783597902097902,8.65
Jordan Akins,HOU,at NO,4.0,1.64,3.1982429237429244,5.8966666666666665
Ryan Griffin,NYJ,vs. BUF,4.0,1.64,3.1982429237429244,5.8966666666666665
Ricky Seals-Jones,CLE,vs. TEN,4.0,1.64,3.1982429237429244,5.8966666666666665
Dawson Knox,BUF,at NYJ,4.0,1.64,3.1982429237429244,5.8966666666666665
Rhett Ellison,NYG,at DAL,4.0,1.64,3.1982429237429244,5.8966666666666665
Josh Hill,NO,vs. HOU,4.0,1.64,3.1982429237429244,5.8966666666666665
Darren Fells,HOU,at NO,4.0,1.64,3.1982429237429244,5.8966666666666665
Nick O'Leary,MIA,vs. BAL,4.0,1.64,3.1982429237429244,5.8966666666666665
James O'Shaughnessy,JAC,vs. KC,4.0,1.64,3.1982429237429244,5.8966666666666665
Maxx Williams,ARI,vs. DET,4.0,1.64,3.1982429237429244,5.8966666666666665
Nick Boyle,BAL,at MIA,4.0,1.64,3.1982429237429244,5.8966666666666665
Xavier Grimble,PIT,at NE,5.0,1.03,1.7833333333333334,3.0300000000000002
Demetrius Harris,CLE,vs. TEN,5.0,1.03,1.7833333333333334,3.0300000000000002
Josh Oliver,JAC,vs. KC,5.0,1.03,1.7833333333333334,3.0300000000000002
Blake Bell,KC,at JAC,5.0,1.03,1.7833333333333334,3.0300000000000002
Mo Alie-Cox,IND,at LAC,5.0,1.03,1.7833333333333334,3.0300000000000002
Luke Stocker,ATL,at MIN,5.0,1.03,1.7833333333333334,3.0300000000000002
Virgil Green,LAC,vs. IND,5.0,1.03,1.7833333333333334,3.0300000000000002
Logan Paulsen,HOU,at NO,5.0,1.03,1.7833333333333334,3.0300000000000002
Jeremy Sprinkle,WAS,at PHI,6.0,0.18,0.7378571428571427,1.855
Foster Moreau,OAK,vs. DEN,6.0,0.18,0.7378571428571427,1.855
Anthony Firkser,TEN,at CLE,6.0,0.18,0.7378571428571427,1.855
Daniel Brown,NYJ,vs. BUF,6.0,0.18,0.7378571428571427,1.855
Drew Sample,CIN,at SEA,6.0,0.18,0.7378571428571427,1.855
Trevon Wesco,NYJ,vs. BUF,6.0,0.18,0.7378571428571427,1.855
Robert Tonyan,GB,at CHI,6.0,0.18,0.7378571428571427,1.855
Seth DeValve,JAC,vs. KC,6.0,0.18,0.7378571428571427,1.855
Tommy Sweeney,BUF,at NYJ,6.0,0.18,0.7378571428571427,1.855
Derek Carrier,OAK,vs. DEN,6.0,0.18,0.7378571428571427,1.855
Ryan Izzo,MIN,vs. ATL,6.0,0.18,0.7378571428571427,1.855
